1 Name1 owner@ 40 100 $4000
4 Name4 manager@ 38 69.58 $2644.04
3 Name3 manager@ 37 69.58 $2574.46
2 Name2 manager@ 35 69.58 $2435.3
7 Name7 worker@ 39 22.26 $868.14
6 Name6 worker@ 36 22.26 $801.36
5 Name5 worker@ 34 22.26 $756.84
8 Name8 worker@ 33 22.26 $734.58
9 Name9 worker@ 32 22.26 $712.32
10 Name10 worker@ 31 22.26 $690.06
11 Name11 worker@ 30 22.26 $667.8
12 Name12 worker@ 29 22.26 $645.54
13 Name13 worker@ 28 22.26 $623.28
14 Name14 worker@ 27 22.26 $601.02
15 Name15 worker@ 26 22.26 $578.76
16 Name16 worker@ 25 22.26 $556.5
17 Name17 worker@ 24 22.26 $534.24
18 Name18 worker@ 23 22.26 $511.98
19 Name19 worker@ 22 22.26 $489.72
20 Name20 worker@ 21 22.26 $467.46
